,job title,ONET skill,skill name,context
0,Media Consultant,43232405-Self,self,"The ideal candidate is energetic, self-motivated, team-oriented, and customer-centric."
1,Media Consultant,43232405-Self,self,"We are proud to be an equal opportunity employer College degree preferred, 2-5 years experience in print and/or online advertising sales and be able to show consistent sales results in previous positions, Knowledge of the IT industry is preferred, Track record of creativity in sales approaches and solutions, Track record of successfully meeting and exceeding sales goals in media sales relevant to 1105 Medias line of business, Excellent client  presentation and communication skills as well as strong customer service and organizational skills, The ideal candidate is energetic, self-motivated, team-oriented, and customer-centric, Understanding of how to research potential customers and use online analytics from a sales perspective, Weekly local travel to meet with clients/prospects is required, Minimal non local travel a few times a year is required"
2,Social Media Intern,44112002-Calendars,calendars,"Assist in the management of multiple media brands' social media outlets build content for positing with our editorial and marketing teams execute on promotion calendars for timely posting assist in developing key initiatives for further engaging our audiences through social media channels monitor posts on various industry sites, blogs, forums, and social networks."
3,Social Media Intern,43232610-ImPACT,impact,"What you'll receive: the opportunity to drive expansion and assist with social media strategy in the B2B media market a great opportunity to work with various areas of the business -LRB-E.G., marketing, editorial, executive management-RRB- to apply your classroom knowledge in the real world you will play an important role in supporting 1105 media's brands and user communities, grow your social media experience, and work alongside our exceptionally dedicated and creative team in addition to being a social media superstar, the right candidate has the following skills: exceptional attention to detail outstanding written and verbal communication skills strong PC, technology, and web search experience strong instincts for spotting top influencers and industry trends the ability to multi-task and manage changing priorities the drive to make a significant and positive impact in everything you do a team player mindset and willingness to share your ideas and solutions strong interest in learning ability to work 8 hours per week   this position will focus on the technology, enterprise computing and government/education -LRB-public sector-RRB- areas of 1105."
4,Social Media Intern,43232701-Player,player,"What you'll receive: the opportunity to drive expansion and assist with social media strategy in the B2B media market a great opportunity to work with various areas of the business -LRB-E.G., marketing, editorial, executive management-RRB- to apply your classroom knowledge in the real world you will play an important role in supporting 1105 media's brands and user communities, grow your social media experience, and work alongside our exceptionally dedicated and creative team in addition to being a social media superstar, the right candidate has the following skills: exceptional attention to detail outstanding written and verbal communication skills strong PC, technology, and web search experience strong instincts for spotting top influencers and industry trends the ability to multi-task and manage changing priorities the drive to make a significant and positive impact in everything you do a team player mindset and willingness to share your ideas and solutions strong interest in learning ability to work 8 hours per week   this position will focus on the technology, enterprise computing and government/education -LRB-public sector-RRB- areas of 1105."
5,Social Media Intern,44112002-Calendars,calendars,"Assist in the management of multiple media brands' social media outlets build content for positing with our editorial and marketing teams execute on promotion calendars for timely posting assist in developing key initiatives for further engaging our audiences through social media channels monitor posts on various industry sites, blogs, forums, and social networks."
6,Social Media Intern,43232610-ImPACT,impact,"What you'll receive: the opportunity to drive expansion and assist with social media strategy in the B2B media market a great opportunity to work with various areas of the business -LRB-E.G., marketing, editorial, executive management-RRB- to apply your classroom knowledge in the real world you will play an important role in supporting 1105 media's brands and user communities, grow your social media experience, and work alongside our exceptionally dedicated and creative team in addition to being a social media superstar, the right candidate has the following skills: exceptional attention to detail outstanding written and verbal communication skills strong PC, technology, and web search experience strong instincts for spotting top influencers and industry trends the ability to multi-task and manage changing priorities the drive to make a significant and positive impact in everything you do a team player mindset and willingness to share your ideas and solutions strong interest in learning ability to work 8 hours per week"
7,Social Media Intern,43232701-Player,player,"What you'll receive: the opportunity to drive expansion and assist with social media strategy in the B2B media market a great opportunity to work with various areas of the business -LRB-E.G., marketing, editorial, executive management-RRB- to apply your classroom knowledge in the real world you will play an important role in supporting 1105 media's brands and user communities, grow your social media experience, and work alongside our exceptionally dedicated and creative team in addition to being a social media superstar, the right candidate has the following skills: exceptional attention to detail outstanding written and verbal communication skills strong PC, technology, and web search experience strong instincts for spotting top influencers and industry trends the ability to multi-task and manage changing priorities the drive to make a significant and positive impact in everything you do a team player mindset and willingness to share your ideas and solutions strong interest in learning ability to work 8 hours per week"
8,Automotive Service Manager-Norfolk Car Care Center,27111802,levels,"Continually develops plans, programs, and promotions to increase production and customer service satisfaction levels."
9,Automotive Service Manager-Norfolk Car Care Center,2.B.5.a,time management,Time Management and multi-tasking - must be able to perform multiple tasks and use time efficiently.
