,job title,ONET skill,skill name,context
0,Social Media Intern,44112002-Calendars,calendars,"Assist in the management of multiple media brands' social media outlets build content for positing with our editorial and marketing teams execute on promotion calendars for timely posting assist in developing key initiatives for further engaging our audiences through social media channels monitor posts on various industry sites, blogs, forums, and social networks."
1,Social Media Intern,43232610-ImPACT,impact,"What you'll receive: the opportunity to drive expansion and assist with social media strategy in the B2B media market a great opportunity to work with various areas of the business -LRB-E.G., marketing, editorial, executive management-RRB- to apply your classroom knowledge in the real world you will play an important role in supporting 1105 media's brands and user communities, grow your social media experience, and work alongside our exceptionally dedicated and creative team in addition to being a social media superstar, the right candidate has the following skills: exceptional attention to detail outstanding written and verbal communication skills strong PC, technology, and web search experience strong instincts for spotting top influencers and industry trends the ability to multi-task and manage changing priorities the drive to make a significant and positive impact in everything you do a team player mindset and willingness to share your ideas and solutions strong interest in learning ability to work 8 hours per week   this position will focus on the technology, enterprise computing and government/education -LRB-public sector-RRB- areas of 1105."
2,Social Media Intern,43232701-Player,player,"What you'll receive: the opportunity to drive expansion and assist with social media strategy in the B2B media market a great opportunity to work with various areas of the business -LRB-E.G., marketing, editorial, executive management-RRB- to apply your classroom knowledge in the real world you will play an important role in supporting 1105 media's brands and user communities, grow your social media experience, and work alongside our exceptionally dedicated and creative team in addition to being a social media superstar, the right candidate has the following skills: exceptional attention to detail outstanding written and verbal communication skills strong PC, technology, and web search experience strong instincts for spotting top influencers and industry trends the ability to multi-task and manage changing priorities the drive to make a significant and positive impact in everything you do a team player mindset and willingness to share your ideas and solutions strong interest in learning ability to work 8 hours per week   this position will focus on the technology, enterprise computing and government/education -LRB-public sector-RRB- areas of 1105."
3,Social Media Intern,44112002-Calendars,calendars,"Assist in the management of multiple media brands' social media outlets build content for positing with our editorial and marketing teams execute on promotion calendars for timely posting assist in developing key initiatives for further engaging our audiences through social media channels monitor posts on various industry sites, blogs, forums, and social networks."
4,Social Media Intern,43232610-ImPACT,impact,"What you'll receive: the opportunity to drive expansion and assist with social media strategy in the B2B media market a great opportunity to work with various areas of the business -LRB-E.G., marketing, editorial, executive management-RRB- to apply your classroom knowledge in the real world you will play an important role in supporting 1105 media's brands and user communities, grow your social media experience, and work alongside our exceptionally dedicated and creative team in addition to being a social media superstar, the right candidate has the following skills: exceptional attention to detail outstanding written and verbal communication skills strong PC, technology, and web search experience strong instincts for spotting top influencers and industry trends the ability to multi-task and manage changing priorities the drive to make a significant and positive impact in everything you do a team player mindset and willingness to share your ideas and solutions strong interest in learning ability to work 8 hours per week"
5,Social Media Intern,43232701-Player,player,"What you'll receive: the opportunity to drive expansion and assist with social media strategy in the B2B media market a great opportunity to work with various areas of the business -LRB-E.G., marketing, editorial, executive management-RRB- to apply your classroom knowledge in the real world you will play an important role in supporting 1105 media's brands and user communities, grow your social media experience, and work alongside our exceptionally dedicated and creative team in addition to being a social media superstar, the right candidate has the following skills: exceptional attention to detail outstanding written and verbal communication skills strong PC, technology, and web search experience strong instincts for spotting top influencers and industry trends the ability to multi-task and manage changing priorities the drive to make a significant and positive impact in everything you do a team player mindset and willingness to share your ideas and solutions strong interest in learning ability to work 8 hours per week"
6,Automotive Service Manager-Norfolk Car Care Center,27111802-Levels,levels,"Continually develops plans, programs, and promotions to increase production and customer service satisfaction levels."
7,Automotive Service Manager-Norfolk Car Care Center,2.B.5.a-Time Management,time management,Time Management and multi-tasking - must be able to perform multiple tasks and use time efficiently.
8,Automotive Service Manager-Hampton Car Care Center,27111802-Levels,levels,"Continually develops plans, programs, and promotions to increase production and customer service satisfaction levels."
9,Automotive Service Manager-Hampton Car Care Center,2.B.5.a-Time Management,time management,Time Management and multi-tasking - must be able to perform multiple tasks and use time efficiently.
10,Service Truck Operator-Norfolk,25101507-Trucks,trucks,You will switch between trucks as needed and will most likely not use the same truck on a permanent basis.
11,Service Truck Operator-Norfolk,27111802-Levels,levels,All Service truck operators are required to maintain the professional image and customer service levels of AAA.
12,Service Truck Operator-Norfolk,2.C.3.e-Mechanical,mechanical,This position requires some mechanical aptitude/knowledge.
13,Service Truck Operator-Norfolk,2.B.5.a-Time Management,time management,Time Management & multi-tasking - must be able to perform multiple tasks and use time efficiently.
14,Automotive Technician-Chesapeake,25101503-Automobiles,automobiles,Perform minor diagnostics on automobiles as required.
15,Automotive Technician-Chesapeake,23251502-Brakes,brakes,"Repair vehicles according to manufacturers' specifications including, but not limited to, brakes, suspension, exhaust, drive train, cooling system, tires, alignments, air conditioning/heating, ignition system, and fuel system."
16,Lube Technician-Norfolk,25101503-Automobiles,automobiles,This position performs minor repairs and lube services to automobiles.
17,Lube Technician-Norfolk,25101503-Automobiles,automobiles,Responsibilities include: perform oil changes and lubrication services to automobiles.
18,Lube Technician-Norfolk,27112912-Oil changer,oil changes,Responsibilities include: perform oil changes and lubrication services to automobiles.
19,Lube Technician-Norfolk,2.B.3.d-Installation,installation,Perform tire repairs and installation services to automobiles.
20,Lube Technician-Norfolk,25101503-Automobiles,automobiles,Perform tire repairs and installation services to automobiles.
21,Lube Technician-Norfolk,25101503-Automobiles,automobiles,"Perform any other minor repairs to automobiles as assigned by a lead tech or service writer, according to his/her abilities."
22,Lube Technician-Norfolk,43232605-AUTO,auto,"All applicants must meet the following qualifications: Automotive Repair Knowledge -Minimum 1 year automotive tire, Lube, or general repair experience or six months of auto trade school or other formalized training program.must provide own full set of tools."
23,Lube Technician-Norfolk,2.B.5.a-Time Management,time management,"Time Management and multi-tasking -must be able to perform multiple tasks and use time efficiently.must be able to deal with negative emotions from others, displaying a positive, caring attitude on each interaction."
24,Automotive Technician-Williamsburg,23251502-Brakes,brakes,"Repairs vehicles according to manufacturers' specifications including, but not limited to, brakes, suspension, exhaust, electrical, drive train, cooling system, ignition system, tires, alignments, air conditioning/heating, engine performance, and fuel system."
25,Automotive Technician-Williamsburg,2.C.3.e-Mechanical,mechanical,Oversees all mechanical repairs.
26,Insurance Agent,43232402-C,c,Current license of P&C;.
27,Insurance Agent,2.A.1.b-Idea Generation and Reasoning Abilities,active listening,"Active listening-- listening to, interpreting, understanding, and processing verbal information; probing to ensure all key information is obtained from member."
28,Insurance Agent,2.A.1.d-Speaking,speaking,"Communication and telephone skills-- using proper telephone etiquette and speaking in a clear, understandable manner; tactfully controlling interactions in order to efficiently obtain and give necessary information; clearly explaining itineraries, costs, and other travel related information; preparing written communications and documents."
29,Automotive Technician-Suffolk,25101503-Automobiles,automobiles,Perform minor diagnostics on automobiles as required.
30,Automotive Technician-Suffolk,23251502-Brakes,brakes,"Repair vehicles according to manufacturers' specifications including, but not limited to, brakes, suspension, exhaust, drive train, cooling system, tires, alignments, air conditioning/heating, ignition system, and fuel system."
31,State Inspector- Chesapeake,25101503-Automobiles,automobiles,Perform oil changes and lubrication services to automobiles.
32,State Inspector- Chesapeake,27112912-Oil changer,oil changes,Perform oil changes and lubrication services to automobiles.
33,State Inspector- Chesapeake,2.B.3.d-Installation,installation,Perform tire repairs and installation services to automobiles.
34,State Inspector- Chesapeake,25101503-Automobiles,automobiles,Perform tire repairs and installation services to automobiles.
35,State Inspector- Chesapeake,25101503-Automobiles,automobiles,Perform any other basic repairs to automobiles as assigned by a lead tech or manager/service manager/service writer according to his/her abilities.
36,State Inspector- Chesapeake,23251502-Brakes,brakes,"This could include but not be limited to brakes, suspension, alignments, parts changing, exhaust, ac/heating, maintenance inspections, and tune-ups."
37,State Inspector- Chesapeake,2.B.5.a-Time Management,time management,Time Management and multi-tasking -must be able to perform multiple tasks and use time efficiently.
38,State Inspector- Suffolk,25101503-Automobiles,automobiles,Perform oil changes and lubrication services to automobiles.
39,State Inspector- Suffolk,27112912-Oil changer,oil changes,Perform oil changes and lubrication services to automobiles.
40,State Inspector- Suffolk,2.B.3.d-Installation,installation,Perform tire repairs and installation services to automobiles.
41,State Inspector- Suffolk,25101503-Automobiles,automobiles,Perform tire repairs and installation services to automobiles.
42,State Inspector- Suffolk,25101503-Automobiles,automobiles,Perform any other basic repairs to automobiles as assigned by a lead tech or manager/service manager/service writer according to his/her abilities.
43,State Inspector- Suffolk,23251502-Brakes,brakes,"This could include but not be limited to brakes, suspension, alignments, parts changing, exhaust, ac/heating, maintenance inspections, and tune-ups."
44,State Inspector- Suffolk,2.B.5.a-Time Management,time management,Time Management and multi-tasking -must be able to perform multiple tasks and use time efficiently.
45,State Inspector- Virginia Beach,25101503-Automobiles,automobiles,Perform oil changes and lubrication services to automobiles.
46,State Inspector- Virginia Beach,27112912-Oil changer,oil changes,Perform oil changes and lubrication services to automobiles.
47,State Inspector- Virginia Beach,2.B.3.d-Installation,installation,Perform tire repairs and installation services to automobiles.
48,State Inspector- Virginia Beach,25101503-Automobiles,automobiles,Perform tire repairs and installation services to automobiles.
49,State Inspector- Virginia Beach,25101503-Automobiles,automobiles,Perform any other basic repairs to automobiles as assigned by a lead tech or manager/service manager/service writer according to his/her abilities.
50,State Inspector- Virginia Beach,23251502-Brakes,brakes,"This could include but not be limited to brakes, suspension, alignments, parts changing, exhaust, ac/heating, maintenance inspections, and tune-ups."
51,State Inspector- Virginia Beach,2.B.5.a-Time Management,time management,Time Management and multi-tasking -must be able to perform multiple tasks and use time efficiently.
52,Automotive Service Manager-Chesapeake Car Care Center,27111802-Levels,levels,"Continually develops plans, programs, and promotions to increase production and customer service satisfaction levels."
53,Automotive Service Manager-Chesapeake Car Care Center,2.B.5.a-Time Management,time management,Time Management and multi-tasking - must be able to perform multiple tasks and use time efficiently.
54,Supply Specialist (SCA),1.A.1.b.2-Originality,originality,Inspects Oem or FAA form 8130-3 / Certificate of conformance documentation for originality and serial number.
55,Supply Specialist (SCA),2.C.10-Transportation,transportation,"Package materials for transportation, including Hazmat Materials IAW PWS requirements."
56,Supply Specialist (SCA),1.A.1.b.2-Originality,originality,Inspects Oem or FAA form 8130-3 / Certificate of conformance documentation for originality and serial number.
